ruta,variedad,clase,largo_pulg,punta_0.25,punta_0.5,punta_1,punta_1.5,punta_2,punta_3,base_0.25,base_0.5,base_1,base_1.5,base_2,base_3
Connecticut/BANDA_CNT/20260824_174842311_iOS.heic,connecticut,banda,16.666776521135684,1.8994652948428676,2.646118355166052,3.5348342177794154,4.425409788630673,5.357903226134703,6.466937578830523,1.6171993985004034,2.008908311269947,2.8482682416119527,3.6168099359138726,4.383491921977899,5.914996799734451
Connecticut/BANDA_CNT/20260824_174917858_iOS.heic,connecticut,banda,17.32588508378549,1.5299401323205417,2.5566006745259786,3.482755327654868,4.53101721436707,5.375267050929906,6.302170927991573,1.7912555359995244,2.1136245564701635,2.737511397637043,3.68376741274116,4.508665725127938,5.696136242335605
Connecticut/BANDA_CNT/20260824_175118621_iOS.heic,connecticut,banda,16.055947839068708,1.7465898499046406,2.1706679375823015,3.0439630160012197,3.9970455323297958,4.690817686085849,5.945701168984482,2.0683374841188646,2.3649469826024836,2.9216854344938223,3.4133914945666324,4.239005575167765,5.598815092106456
Connecticut/BANDA_CNT/20260824_175249873_iOS.heic,connecticut,banda,16.156924564324065,2.353557152078324,2.8161958711048993,3.6611488916210293,4.264456168892457,5.189868350618894,6.175489775913278,1.8305744458105146,2.112045999040309,2.6352977322548936,3.097936297814871,3.8018176033324806,5.069314199010122
Connecticut/BANDA_CNT/20260824_175802451_iOS.heic,connecticut,banda,15.775515704342364,1.9559479090049097,2.5384191796951687,3.4645336245753104,4.4921720559449545,4.860290543627493,6.105573463071253,3.283766853133428,5.54099317494127,4.411831370948517,3.6463982960612507,4.135027964705045,4.793450315281288
Connecticut/BANDA_CNT/20260824_175834820_iOS.heic,connecticut,banda,16.637819669541592,2.2256705198705813,2.7500919754972166,3.456648817689149,4.265267700264134,5.0358179654042745,5.76042524195209,1.6592435681635573,1.9614912760011929,2.3516880823779354,2.970296593363752,3.558710551139006,4.791657518480243
Connecticut/CAPA_CONNECTICUT/20260817_180628742_iOS.jpg,connecticut,capa,17.850331354786743,2.313565384725045,3.1096137864836333,4.371987116747889,5.2208957723502465,5.8146614596761514,6.725066111005587,1.9440647980262495,2.3884075114439276,2.7665436689195966,3.0965296194471166,3.501095732738232,4.345556647613131
Connecticut/CAPA_CONNECTICUT/20260817_180654648_iOS.jpg,connecticut,capa,14.369977721559204,1.9299084780545073,2.670326070538883,3.5908834934234624,4.264068233555761,4.8277506715264815,5.992276101276793,1.6609753575818293,2.198841598527185,3.029754990133746,3.7710236660365406,4.51144160073379,6.171565532684327
Connecticut/CAPA_CONNECTICUT/20260817_180756944_iOS.jpg,connecticut,capa,15.120540593815575,2.253907414345906,2.6377547624809994,3.4031725453919384,4.371669543200526,5.094741391724554,5.929370530720416,2.1177621288546202,2.412364123710271,3.2693040021534627,3.945476602891396,4.485503233712295,5.166229661168724
Connecticut/CAPA_CONNECTICUT/20260817_182042921_iOS.jpg,connecticut,capa,15.4566318421212,2.233921498060227,2.801235327946729,3.6803944038933727,4.515004036755398,5.0626551704160105,5.808166259321674,1.4739714213486377,2.4396171014884427,3.3436627531873775,2.801235499053166,3.190351727707633,3.9109764119674426
Connecticut/CAPA_CONNECTICUT/20260817_182830192_iOS.jpg,connecticut,capa,13.96243420237082,1.9292428740139667,2.5133833109304824,3.545259673019936,4.218442359874989,5.047922221751049,5.970233485616488,1.4802438411219367,1.5942301585756502,2.1546894645896453,2.80482223218885,3.522841649836508,4.780795985254748
Connecticut/CAPA_CONNECTICUT/20260817_182910886_iOS.jpg,connecticut,capa,13.053870152101085,1.758494733736433,2.256233777465492,3.070930727596941,3.7024873248462025,4.26477729863134,5.2555393504685375,1.3195102183983245,1.5108043063303522,1.8277616994134314,2.283253023850507,2.6177970787574507,3.430135839972003
Connecticut/CAPA_CONNECTICUT/20260817_182940368_iOS.jpg,connecticut,capa,12.085488426160095,1.6186494426480658,2.1123967443046903,3.0375540215393597,3.8013416734235044,4.275901612536661,5.127580139143714,1.2623098497760707,1.5818666918524382,2.272175250896092,2.9464798826595837,3.8444912947457417,5.04128089649924
Connecticut/CAPA_CONNECTICUT/20260817_183048454_iOS.jpg,connecticut,capa,14.76648882476614,1.9474304616451266,2.53733906766464,3.42220197669391,4.192907119619436,4.684686526142318,5.75343889203565,1.4334380174505301,1.3285577279226535,1.1224554900465342,1.6080499121855047,2.217079149237995,3.501210716264002
Connecticut/CAPA_CONNECTICUT/20260817_183147181_iOS.jpg,connecticut,capa,16.030370708314187,1.5252092439552836,1.9965120009307207,2.669218669677603,3.588992425080004,4.46351058113164,5.495402171694,3.140113166693984,3.770421371377748,3.4560834467411046,3.4992980885094616,3.792436610008109,4.845526919282716
Connecticut/CAPA_CONNECTICUT/20260817_183308478_iOS.jpg,connecticut,capa,13.245369610349426,1.6148856143499244,1.9288585689561122,3.252030122896721,3.7678424551569187,4.4408095479011545,5.382728240613281,1.391122967775526,1.5924588647382014,2.040991803695416,2.6465107921896314,3.3194775427209926,4.328675970948976
Connecticut/CAPA_CONNECTICUT/20260817_183332237_iOS.jpg,connecticut,capa,15.49822132233344,1.7752977280781188,2.313880904995162,3.396811834697066,4.044416846900151,4.633526043645268,5.506381729553486,1.3724413103070754,1.5348723088872847,2.0915130325432485,2.8300830177192036,3.3939293756567204,4.450155381498666
Connecticut/CAPA_CONNECTICUT/20260817_183353431_iOS.jpg,connecticut,capa,11.429364574201824,1.9574415570703048,2.5182423915328656,3.354082450784486,4.049076075183935,4.408587468081508,5.337215639393905,1.3038520972276557,1.5515360225891246,2.114000011620851,2.451145911011203,3.104735199747415,4.229663520023741
Connecticut/CAPA_CONNECTICUT/20260817_183415809_iOS.jpg,connecticut,capa,10.64240981237948,1.527637586511415,2.2903250240046407,3.098941535785281,3.4371847407571203,3.8190943084914113,5.030887207080578,1.259984513295108,1.6161011544794874,2.4930447442778227,3.2333336647214566,3.8426241813034854,4.491055295385164
Connecticut/CAPA_CONNECTICUT/20260817_183437800_iOS.jpg,connecticut,capa,17.675219930507385,2.109233841813844,2.3789602117291815,3.0521514539060925,3.5676903580797132,4.397785176490916,5.632094655571313,1.7505978294487659,2.064404126385163,2.5806926478599683,3.0745663971736517,3.59085474754202,4.914822973054031
Connecticut/CAPA_CONNECTICUT/20260817_183503362_iOS.jpg,connecticut,capa,14.424683700957926,1.5670221817904506,2.1791296236473943,3.019775378293005,3.746151976544282,4.313964923907971,5.408829158750074,1.7255858326780387,2.068393472967477,2.463510746585912,2.842597571426425,3.185405040609426,4.181081269321771
